Product_Link,Product_Name,Product_Price,Shipping_Price,SKU
https://www.4wdsupacentre.com.au/products/kings-pink-double-swag-tent.html,Kings Pink Double Swag | 50mm mattress | Free-Standing | 400gsm canvas,199,20,AKSW-DBL1400P_02
https://www.4wdsupacentre.com.au/products/1m-height-big-70mm-mattress-400gsm-canvas-daddy-deluxe-double-swag.html,Kings Big Daddy Deluxe Double Swag | 96cm High | 70mm Queen Mattress | 400gsm Canvas,199,30,AKSW-BDD_01
https://www.4wdsupacentre.com.au/products/kings-inflatable-stand-up-paddle-board-10ft-6in-huge-150kg-rating-inc-paddle-more.html,Kings Inflatable Stand-Up Paddle Board | 10ft 6in | HUGE 150kg rating | Inc. paddle & more,199,20,AKTA-ISUPB_02
https://www.4wdsupacentre.com.au/products/adventure-kings-1000a-lithium-jump-starter.html,Adventure Kings 1000A Lithium Jump Starter,99.95,10,AKEP-LJS1000A_01
https://www.4wdsupacentre.com.au/products/kings-domin8r-xtreme-9-led-driving-lights-pair-1lux-at-1-384m-19-796-lumens-fitted-with-osram-leds.html,"Kings Domin8r Xtreme 9” LED Driving Lights (Pair) | 1Lux @ 1,384m | 19,796 lumens | Fitted with OSRAM LEDs",129,12,AKLL-9ODL_02
https://www.4wdsupacentre.com.au/products/new-product-160w-fixed-solar-panel-v3.html,Kings 160w Fixed Solar Panel | 10.01A Output | Grade A Cells | Tempered Glass,159,20,AKSR-FX160W_03
https://www.4wdsupacentre.com.au/products/supa-trail-gazebo.html,Supa Trail 3x3 Gazebo | UPF50+ UV Rating | Lightweight & Compact,89,15,STGA-GAZ3X3_01
https://www.4wdsupacentre.com.au/products/kings-deluxe-single-swag.html,Kings Deluxe Single Swag | 50mm Thick Single Mattress | 400gsm Canvas,169,15,AKSW-DSS_02
https://www.4wdsupacentre.com.au/products/single-swag-kwiky-canvas-50mm-mattress-adventure-kings.html,Kings Kwiky Single Swag | 50mm Mattress | Traveller | 260gsm Canvas,129,15,AKTA-SWAG_750
https://www.4wdsupacentre.com.au/products/camping-awning-upf-50-waterproof-kings-2-x-2-5m-kings-side-vehicle.html,Kings 2x2.5m Side Awning | UPF50+ | 170gsm Waterproof | Suits All Vehicles,149,20,AKTA-AWN2X2.5_B_02
https://www.4wdsupacentre.com.au/products/kings-2-5x2-5m-side-awning-suits-all-vehicles-waterproof-upf50-rated.html,2.5x2.5m Side Awning |Suits All Vehicles,169,20,AKTA-AWN2.5X2.5_F_02
https://www.4wdsupacentre.com.au/products/2x3m-waterproof-side-awning-suits-all-vehicles-adventure-kings.html,Kings 2x3m Side Awning | UP50+ | 170gsm Waterproof | Suits All Vehicles,99,20,AKTA-AWN2X3_G_02
https://www.4wdsupacentre.com.au/products/kings-1-4-x-2m-rear-awning-waterproof-upf50.html,Kings 1.4 x 2m Rear Awning | Waterproof | UPF50+,119,20,AKTA-AWN1.4X2_E_02
https://www.4wdsupacentre.com.au/products/kids-inflatable-stand-up-paddle-board-6ft-10in-huge-70kg-rating-inc-paddle.html,Kids Inflatable Stand-Up Paddle Board | 6ft 10in | HUGE 70kg rating | Inc.paddle,169,15,AKTA-ISUPB_KID_02
https://www.4wdsupacentre.com.au/products/kings-portable-gazebo-3m-x-3m-heavy-duty-steel-frame-upf50-waterproof.html,Kings 3x3m Portable Gazebo | Heavy Duty Steel Frame | UPF50+ | Waterproof | 420D Coated polyester,89,25,AKGA-GAZ3x3_02
https://www.4wdsupacentre.com.au/products/adventure-kings-portable-gazebo-6m-x-3m.html,6x3m Portable Gazebo | Heavy Duty Steel Frame | UPF50+ | Waterproof | 420D Coated polyester,269,30,AKGA-GAZ6x3_02
https://www.4wdsupacentre.com.au/products/kings-4-5x3m-portable-gazebo-heavy-duty-steel-frame-upf50-waterproof-420d-polyester.html,Kings 4.5x3m Portable Gazebo | Heavy-Duty Steel Frame | UPF50+ | Waterproof | 420D Polyester,199,30,AKGA-GAZ4.5x3_01
https://www.4wdsupacentre.com.au/products/kings-gazebo-sun-shade-easy-one-person-setup-upf50-inc-roll-down-rear-wall.html,Kings Cabana Sun Shade | Easy Setup | UPF50+ | Inc. Roll-Down Rear Wall  | Beach Shelter,109,10,AKGA-GAZSUNS_01
https://www.4wdsupacentre.com.au/products/adventure-kings-tool-kit-ultimate-bush-mechanic-tough-portable.html,Kings Ultimate Tool Kit | 150+ Pieces | Portable | Perfect For Your Vehicle,149,15,AKTO-UBMTK
